settlement_id,settlement_name,population,population_2011,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_status,nearest_dem_terrain_hazard_score,nearest_dem_distance_km,nearest_event_id,nearest_event_station,nearest_event_time,nearest_event_distance_km,nearest_event_hazard_score,nearest_event_hazard_level,event_distance_factor,terrain_component,event_component,hazard_exposure_score,hazard_exposure_level,population_exposure_score,settlement_exposure_score,settlement_exposure_level,spatial_status,exposure_status,recommended_action,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40857,Sukhi,205,174,30.52,79.7288,PaintMaps Chamoli map,MEDIUM,RESOLVED,27.73,0.0183,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.8406,0.0,HIGH,0.0,11.092,0.0,27.73,LOW,1.0412,19.7234,VERY_LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Normal monitoring,5,57,284,40857,0,VILLAGE,Rural,43,43,174,88,86,31,17.81609195402299,2011,Census of India - Population Census 2011,SUKHI
SETTLEMENT_40858,Kuraipani,33,28,30.5147,79.7204,OpenStreetMap Nominatim,MEDIUM,RESOLVED,45.76,0.003,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.6019,0.0,HIGH,0.0,18.304,0.0,45.76,MODERATE,0.1676,32.0823,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40858,0,VILLAGE,Rural,8,8,28,17,11,5,17.857142857142858,2011,Census of India - Population Census 2011,KURAIPANI
SETTLEMENT_40859,Aira,25,21,30.5417,79.6191,OpenStreetMap Nominatim,MEDIUM,RESOLVED,31.72,0.0096,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,16.7837,27.0232,HIGH,0.3287,12.688,16.2139,28.9019,LOW,0.127,20.2694,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40859,0,VILLAGE,Rural,5,5,21,11,10,4,19.047619047619047,2011,Census of India - Population Census 2011,AIRA
SETTLEMENT_40860,Inara,0,0,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,0.0,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40860,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,INARA
SETTLEMENT_40861,Khancha talla,15,13,30.537,79.5971,PaintMaps Chamoli map,MEDIUM,RESOLVED,33.65,0.0092,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,16.1158,29.2199,HIGH,0.3554,13.46,17.5319,30.9919,LOW,0.0762,21.7172,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40861,0,VILLAGE,Rural,2,2,13,6,7,2,15.384615384615383,2011,Census of India - Population Census 2011,KHANCHA TALLA
SETTLEMENT_40862,Khancha malla,14,12,30.5359,79.5932,PaintMaps Chamoli map,MEDIUM,RESOLVED,34.13,0.0059,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,16.0494,29.4383,HIGH,0.358,13.652,17.663,31.315,LOW,0.0711,21.9418,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40862,0,VILLAGE,Rural,3,3,12,6,6,2,16.666666666666664,2011,Census of India - Population Census 2011,KHANCHA MALLA
SETTLEMENT_40863,Merag,531,451,30.5282,79.5963,PaintMaps Chamoli map; matched alias Mirag/Merag,MEDIUM,RESOLVED,31.8,0.01,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,16.9483,26.4819,HIGH,0.3221,12.72,15.8891,28.6091,LOW,2.6969,20.8355,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40863,0,VILLAGE,Rural,100,100,451,231,220,80,17.738359201773836,2011,Census of India - Population Census 2011,MERAG
SETTLEMENT_40864,Bara gaon,933,792,30.5213,79.6003,PaintMaps Chamoli map,MEDIUM,RESOLVED,13.12,0.0173,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,17.8116,23.6424,HIGH,0.2875,5.248,14.1855,19.4335,VERY_LOW,4.7387,15.025,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40864,0,VILLAGE,Rural,195,195,792,394,398,141,17.803030303030305,2011,Census of India - Population Census 2011,BARA GAON
SETTLEMENT_40865,Payya chormi,158,134,30.5174,79.6088,PaintMaps Chamoli map,MEDIUM,RESOLVED,37.36,0.0029,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,18.5696,21.1494,HIGH,0.2572,14.944,12.6897,27.6337,LOW,0.8025,19.5843,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40865,0,VILLAGE,Rural,30,30,134,67,67,24,17.91044776119403,2011,Census of India - Population Census 2011,PAYYA CHORMI
SETTLEMENT_40866,Dhak,497,422,30.4989,79.6113,OpenStreetMap Nominatim,MEDIUM,RESOLVED,15.94,0.1498,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.5145,14.7528,HIGH,0.1794,6.376,8.8517,15.2277,VERY_LOW,2.5243,11.4166,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40866,0,VILLAGE,Rural,99,99,422,215,207,75,17.77251184834123,2011,Census of India - Population Census 2011,DHAK
SETTLEMENT_40867,Kundikhola,212,180,30.4995,79.6092,PaintMaps Chamoli map,MEDIUM,RESOLVED,12.83,0.0732,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.3575,15.2692,HIGH,0.1857,5.132,9.1615,14.2935,VERY_LOW,1.0767,10.3285,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40867,0,VILLAGE,Rural,42,42,180,88,92,32,17.77777777777778,2011,Census of India - Population Census 2011,KUNDIKHOLA
SETTLEMENT_40868,Tugasi,271,230,30.4823,79.5981,OpenStreetMap Nominatim,MEDIUM,RESOLVED,50.02,2.0084,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.7072,10.8298,HIGH,0.1317,20.008,6.4979,26.5059,LOW,1.3764,18.967,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40868,0,VILLAGE,Rural,44,44,230,116,114,41,17.82608695652174,2011,Census of India - Population Census 2011,TUGASI
SETTLEMENT_40869,Raigari,114,97,30.4778,79.612,PaintMaps Chamoli map,MEDIUM,RESOLVED,16.92,2.4948,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,22.6729,7.6537,HIGH,0.0931,6.768,4.5922,11.3602,VERY_LOW,0.579,8.1259,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40869,0,VILLAGE,Rural,24,24,97,48,49,17,17.525773195876287,2011,Census of India - Population Census 2011,RAIGARI
SETTLEMENT_40870,Karchi,386,328,30.483,79.6077,OpenStreetMap Nominatim,MEDIUM,RESOLVED,47.7,1.9045,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.9721,9.9588,HIGH,0.1211,19.08,5.9753,25.0553,LOW,1.9605,18.1268,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40870,0,VILLAGE,Rural,68,68,328,158,170,58,17.682926829268293,2011,Census of India - Population Census 2011,KARCHI
SETTLEMENT_40871,Bilagar,114,97,30.4956,79.6198,PaintMaps Chamoli map,MEDIUM,RESOLVED,27.71,0.5215,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.2036,12.4861,HIGH,0.1519,11.084,7.4917,18.5757,VERY_LOW,0.579,13.1767,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40871,0,VILLAGE,Rural,26,26,97,46,51,17,17.525773195876287,2011,Census of India - Population Census 2011,BILAGAR
SETTLEMENT_40872,Chamtoli,144,122,30.5002,79.6167,OpenStreetMap Nominatim,MEDIUM,RESOLVED,16.01,0.0098,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.6128,14.4295,HIGH,0.1755,6.404,8.6577,15.0617,VERY_LOW,0.7314,10.7626,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40872,0,VILLAGE,Rural,25,25,122,77,45,22,18.0327868852459,2011,Census of India - Population Census 2011,CHAMTOLI
SETTLEMENT_40873,Topovan,1254,1064,30.4861,79.4639,IIT Roorkee river-gauging station named Topovan; proxy only,LOW_PROXY,RESOLVED,58.43,1.5841,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.5141,14.7542,HIGH,0.1794,23.372,8.8525,32.2245,LOW,6.369,24.4679,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40873,0,VILLAGE,Rural,270,270,1064,605,459,190,17.857142857142858,2011,Census of India - Population Census 2011,TOPOVAN
SETTLEMENT_40874,Gahar,59,50,30.5011,79.625,PaintMaps Chamoli map,MEDIUM,RESOLVED,26.29,0.0067,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.8984,13.4901,HIGH,0.1641,10.516,8.0941,18.6101,VERY_LOW,0.2997,13.117,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40874,0,VILLAGE,Rural,11,11,50,28,22,9,18.0,2011,Census of India - Population Census 2011,GAHAR
SETTLEMENT_40875,Bhangyul,284,241,30.4957,79.6321,OpenStreetMap Nominatim,MEDIUM,RESOLVED,42.43,0.4981,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.7639,10.6436,HIGH,0.1294,16.972,6.3862,23.3582,LOW,1.4424,16.7834,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40875,0,VILLAGE,Rural,48,48,241,124,117,43,17.842323651452283,2011,Census of India - Population Census 2011,BHANGYUL
SETTLEMENT_40876,Karachhon,506,429,30.4777,79.6193,PaintMaps Chamoli map; matched spelling Karchhon,MEDIUM,RESOLVED,30.21,2.5138,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,22.9672,6.6857,HIGH,0.0813,12.084,4.0114,16.0954,VERY_LOW,2.57,12.0378,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40876,0,VILLAGE,Rural,83,83,429,212,217,77,17.94871794871795,2011,Census of India - Population Census 2011,KARACHHON
SETTLEMENT_40877,Badal Gaitha,0,0,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,0.0,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40877,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,BADAL GAITHA
SETTLEMENT_40878,Juwagwar,70,59,30.4931,79.6743,OpenStreetMap Nominatim,MEDIUM,RESOLVED,71.03,0.8033,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,24.2787,2.3723,HIGH,0.0289,28.412,1.4234,29.8354,LOW,0.3555,20.9914,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40878,0,VILLAGE,Rural,16,16,59,27,32,11,18.64406779661017,2011,Census of India - Population Census 2011,JUWAGWAR
SETTLEMENT_40879,Jugaju chak lata,42,36,30.4902,79.6915,PaintMaps Chamoli map,MEDIUM,RESOLVED,60.65,1.1161,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.5729,0.0,HIGH,0.0,24.26,0.0,60.65,HIGH,0.2133,42.519,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40879,0,VILLAGE,Rural,10,10,36,18,18,6,16.666666666666664,2011,Census of India - Population Census 2011,JUGAJU CHAK LATA
SETTLEMENT_40880,Lata,359,305,30.4967,79.7072,OpenStreetMap Nominatim,MEDIUM,RESOLVED,45.85,0.3885,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,26.0563,0.0,HIGH,0.0,18.34,0.0,45.85,MODERATE,1.8234,32.642,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40880,0,VILLAGE,Rural,84,84,305,145,160,54,17.704918032786885,2011,Census of India - Population Census 2011,LATA
SETTLEMENT_40881,Raini Chak Lata,171,145,30.4883,79.6948,PaintMaps Chamoli map,MEDIUM,RESOLVED,48.31,1.3315,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.9408,0.0,HIGH,0.0,19.324,0.0,48.31,MODERATE,0.8685,34.0776,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40881,0,VILLAGE,Rural,48,48,145,106,39,26,17.93103448275862,2011,Census of India - Population Census 2011,RAINI CHAK LATA
SETTLEMENT_40882,Pang Chak Lata,147,125,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,0.7466,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40882,0,VILLAGE,Rural,32,32,125,52,73,22,17.599999999999998,2011,Census of India - Population Census 2011,PANG CHAK LATA
SETTLEMENT_40883,Morana Chak Subhai,27,23,30.4693,79.7037,PaintMaps Chamoli map,MEDIUM,RESOLVED,60.85,3.431,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,28.1074,0.0,HIGH,0.0,24.34,0.0,60.85,HIGH,0.1371,42.6361,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40883,0,VILLAGE,Rural,5,5,23,11,12,4,17.391304347826086,2011,Census of India - Population Census 2011,MORANA CHAK SUBHAI
SETTLEMENT_40884,Subhai,670,569,30.4791,79.6769,PaintMaps Chamoli map,MEDIUM,RESOLVED,55.42,2.3425,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.6702,0.0,HIGH,0.0,22.168,0.0,55.42,MODERATE,3.4029,39.8149,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40884,0,VILLAGE,Rural,126,126,569,295,274,101,17.75043936731107,2011,Census of India - Population Census 2011,SUBHAI
SETTLEMENT_40885,Raini Chak Subhai,304,258,30.4862,79.6914,PaintMaps Chamoli map,MEDIUM,RESOLVED,51.04,1.5691,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,25.9122,0.0,HIGH,0.0,20.416,0.0,51.04,MODERATE,1.544,36.1912,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40885,0,VILLAGE,Rural,56,56,258,188,70,46,17.829457364341085,2011,Census of India - Population Census 2011,RAINI CHAK SUBHAI
SETTLEMENT_40886,Ringi,322,273,30.478,79.619,OpenStreetMap Nominatim,MEDIUM,RESOLVED,26.0,2.4736,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,22.9188,6.845,HIGH,0.0832,10.4,4.107,14.507,VERY_LOW,1.6354,10.6455,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40886,0,VILLAGE,Rural,68,68,273,129,144,49,17.94871794871795,2011,Census of India - Population Census 2011,RINGI
SETTLEMENT_40887,Bampa,226,192,30.7437,79.8297,OpenStreetMap Nominatim,MEDIUM,RESOLVED,41.72,7.6676,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,31.114,0.0,HIGH,0.0,16.688,0.0,41.72,MODERATE,1.1478,29.5484,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40887,0,VILLAGE,Rural,60,60,192,85,107,34,17.708333333333336,2011,Census of India - Population Census 2011,BAMPA
SETTLEMENT_40888,Gamsali,451,383,30.756,79.8262,OpenStreetMap Nominatim,MEDIUM,RESOLVED,31.45,7.3448,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,31.2074,0.0,HIGH,0.0,12.58,0.0,31.45,LOW,2.2906,22.7022,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40888,0,VILLAGE,Rural,108,108,383,182,201,68,17.75456919060052,2011,Census of India - Population Census 2011,GAMSALI
SETTLEMENT_40889,Niti,55,47,30.7777,79.8411,OpenStreetMap Nominatim,MEDIUM,RESOLVED,64.46,8.7681,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,33.3871,0.0,HIGH,0.0,25.784,0.0,64.46,HIGH,0.2793,45.2058,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40889,0,VILLAGE,Rural,29,29,47,22,25,8,17.02127659574468,2011,Census of India - Population Census 2011,NITI
SETTLEMENT_40890,Gurguti,295,250,30.7111,79.8436,PaintMaps Chamoli map,MEDIUM,RESOLVED,64.7,9.0056,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,31.6028,0.0,HIGH,0.0,25.88,0.0,64.7,HIGH,1.4983,45.7395,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40890,0,VILLAGE,Rural,101,101,250,147,103,45,18.0,2011,Census of India - Population Census 2011,GURGUTI
SETTLEMENT_40891,Mahargaon,317,269,30.4061,79.4206,OpenStreetMap Nominatim,MEDIUM,RESOLVED,64.16,10.4594,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,30.2172,0.0,HIGH,0.0,25.664,0.0,64.16,HIGH,1.61,45.395,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40891,0,VILLAGE,Rural,43,43,269,139,130,48,17.843866171003718,2011,Census of India - Population Census 2011,MAHARGAON
SETTLEMENT_40892,Malari,2278,1933,30.6846,79.8894,OpenStreetMap Nominatim,MEDIUM,RESOLVED,44.28,13.3888,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,35.6325,0.0,HIGH,0.0,17.712,0.0,44.28,MODERATE,11.5699,34.467,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40892,0,VILLAGE,Rural,1076,1076,1933,1427,506,345,17.847904811174338,2011,Census of India - Population Census 2011,MALARI
SETTLEMENT_40893,Kailashpur,186,158,30.7069,79.8761,PaintMaps Chamoli map; supported by Niti Valley field-study location,MEDIUM,RESOLVED,49.46,12.1197,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,34.6142,0.0,HIGH,0.0,19.784,0.0,49.46,MODERATE,0.9447,34.9054,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40893,0,VILLAGE,Rural,35,35,158,80,78,28,17.72151898734177,2011,Census of India - Population Census 2011,KAILASHPUR
SETTLEMENT_40894,Rewal Chak Kurkuti,0,0,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,0.0,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40894,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,REWAL CHAK KURKUTI
SETTLEMENT_40895,Farkiagaon,232,197,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,1.1783,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40895,0,VILLAGE,Rural,41,41,197,108,89,35,17.766497461928935,2011,Census of India - Population Census 2011,FARKIAGAON
SETTLEMENT_40896,Kosa,356,302,30.6779,79.8609,OpenStreetMap Nominatim,MEDIUM,RESOLVED,59.35,10.6639,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,32.8802,0.0,HIGH,0.0,23.74,0.0,59.35,MODERATE,1.8081,42.0874,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40896,0,VILLAGE,Rural,71,71,302,153,149,54,17.880794701986755,2011,Census of India - Population Census 2011,KOSA
SETTLEMENT_40897,Jalam,264,224,30.6382,79.8252,PaintMaps Chamoli map,MEDIUM,RESOLVED,46.63,7.2568,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,29.5823,0.0,HIGH,0.0,18.652,0.0,46.63,MODERATE,1.3409,33.0433,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40897,0,VILLAGE,Rural,81,81,224,120,104,40,17.857142857142858,2011,Census of India - Population Census 2011,JALAM
SETTLEMENT_40898,Jumma,92,78,30.6079,79.8061,OpenStreetMap Nominatim,MEDIUM,RESOLVED,40.55,5.4179,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,28.3213,0.0,HIGH,0.0,16.22,0.0,40.55,MODERATE,0.4673,28.5252,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40898,0,VILLAGE,Rural,62,62,78,63,15,14,17.94871794871795,2011,Census of India - Population Census 2011,JUMMA
SETTLEMENT_40899,Lamtoli,0,0,,,NO_VERIFIED_COORDINATE,UNRESOLVED,UNRESOLVED,,,,,,,,,0.0,,,,UNAVAILABLE,0.0,,UNAVAILABLE,COORDINATES_UNRESOLVED,COORDINATES_UNRESOLVED,Coordinate verification required,5,57,284,40899,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,LAMTOLI
SETTLEMENT_40900,Kaga Laga Dronagiri,114,97,30.6121,79.824,PaintMaps Chamoli map,MEDIUM,RESOLVED,49.13,7.1388,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,29.9001,0.0,HIGH,0.0,19.652,0.0,49.13,MODERATE,0.579,34.5647,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40900,0,VILLAGE,Rural,26,26,97,47,50,17,17.525773195876287,2011,Census of India - Population Census 2011,KAGA LAGA DRONAGIRI
SETTLEMENT_40901,Garpak,78,66,30.6269,79.8542,OpenStreetMap Nominatim,MEDIUM,RESOLVED,49.66,10.0219,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,32.4878,0.0,HIGH,0.0,19.864,0.0,49.66,MODERATE,0.3962,34.8808,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40901,0,VILLAGE,Rural,11,11,66,40,26,12,18.181818181818183,2011,Census of India - Population Census 2011,GARPAK
SETTLEMENT_40902,Dronagiri,108,92,30.5992,79.868,OpenStreetMap Nominatim,MEDIUM,RESOLVED,36.41,11.3427,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,34.3222,0.0,HIGH,0.0,14.564,0.0,36.41,LOW,0.5485,25.6516,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40902,0,VILLAGE,Rural,31,31,92,47,45,16,17.391304347826086,2011,Census of India - Population Census 2011,DRONAGIRI
SETTLEMENT_40903,F-1,2,2,30.5556,79.5613,OpenStreetMap Nominatim,MEDIUM,RESOLVED,14.9,0.0152,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,12.8388,39.9978,HIGH,0.4864,5.96,23.9987,29.9587,LOW,0.0102,20.9741,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40903,0,VILLAGE,Rural,2,2,2,2,0,0,0.0,2011,Census of India - Population Census 2011,F-1
SETTLEMENT_40904,Joshimath,0,0,30.5556,79.5613,OpenStreetMap Nominatim,MEDIUM,RESOLVED,14.9,0.0152,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,12.8388,39.9978,HIGH,0.4864,5.96,23.9987,29.9587,LOW,0.0,20.9711,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40904,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,JOSHIMATH
SETTLEMENT_40905,Chamoli,0,0,30.4397,79.4305,OpenStreetMap Nominatim,MEDIUM,RESOLVED,51.98,6.729,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,26.373,0.0,HIGH,0.0,20.792,0.0,51.98,MODERATE,0.0,36.386,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40905,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,CHAMOLI
SETTLEMENT_40906,Joshimath,0,0,30.5556,79.5613,OpenStreetMap Nominatim,MEDIUM,RESOLVED,14.9,0.0152,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,12.8388,39.9978,HIGH,0.4864,5.96,23.9987,29.9587,LOW,0.0,20.9711,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40906,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,JOSHIMATH
SETTLEMENT_800290,Badrinathpuri (NP),2873,2438,30.743,79.494,Geocountries Badrinathpuri map,MEDIUM,RESOLVED,22.09,0.0157,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,8.9894,52.6585,HIGH,0.6404,8.836,31.5951,40.4311,MODERATE,14.5919,32.6794,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,800290,0,TOWN,Urban,850,850,2438,2054,384,435,17.842493847415913,2011,Census of India - Population Census 2011,BADRINATHPURI (NP)
SETTLEMENT_800291,Joshimath  (NPP),19689,16709,30.555,79.565,Published geographic coordinate for Joshimath; cross-checked with geographic literature,HIGH,RESOLVED,39.39,0.0101,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,13.0199,39.4023,HIGH,0.4792,15.756,23.6414,39.3974,LOW,100.0,57.5782,MODERATE,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Enhanced monitoring and preparedness,5,57,284,800291,0,TOWN,Urban,3898,3898,16709,9988,6721,2980,17.83469986234963,2011,Census of India - Population Census 2011,JOSHIMATH  (NPP)
